frame,time_s,x,y
0,0.0,652.0,448.0
1,0.03332931242460796,670.0,472.0
2,0.06665862484921592,502.0,371.0
3,0.09998793727382388,624.0,428.0
4,0.13331724969843184,662.0,492.0
5,0.1666465621230398,663.0,490.0
6,0.19997587454764776,422.0,298.0
7,0.23330518697225572,677.0,473.0
8,0.2666344993968637,492.0,378.0
9,0.29996381182147164,645.0,449.0
10,0.3332931242460796,671.0,473.0
11,0.36662243667068756,662.0,492.0
12,0.3999517490952955,628.0,432.0
13,0.4332810615199035,647.0,448.0
14,0.46661037394451144,664.0,472.0
15,0.4999396863691194,636.0,410.0
16,0.5332689987937274,599.0,402.0
17,0.5665983112183354,467.0,379.0
18,0.5999276236429433,331.0,316.0
19,0.6332569360675513,418.0,571.0
20,0.6665862484921592,297.0,555.0
21,0.6999155609167672,165.0,543.0
22,0.7332448733413751,148.0,911.0
23,0.7665741857659831,12.0,824.0
24,0.799903498190591,1165.0,1545.0
25,0.833232810615199,1384.0,1551.0
26,0.866562123039807,,
27,0.899891435464415,,
28,0.9332207478890229,2148.0,1129.0
29,0.9665500603136309,2035.0,835.0
30,0.9998793727382388,1781.0,709.0
31,1.0332086851628468,1528.0,787.0
32,1.0665379975874547,1432.0,1044.0
33,1.0998673100120626,,
34,1.1331966224366707,1805.0,1457.0
35,1.1665259348612786,2020.0,1434.0
36,1.1998552472858866,,
37,1.2331845597104945,1720.0,1127.0
38,1.2665138721351026,1464.0,1077.0
39,1.2998431845597105,,
40,1.3331724969843184,983.0,970.0
41,1.3665018094089263,726.0,954.0
42,1.3998311218335344,518.0,1043.0
43,1.4331604342581423,513.0,1218.0
44,1.4664897466827502,719.0,1304.0
45,1.4998190591073581,,
46,1.5331483715319663,1154.0,1182.0
47,1.5664776839565742,1232.0,1027.0
48,1.599806996381182,,
49,1.63313630880579,981.0,923.0
50,1.666465621230398,808.0,1156.0
51,1.699794933655006,851.0,1564.0
52,1.733124246079614,1262.0,1776.0
53,1.7664535585042218,1612.0,1538.0
54,1.79978287092883,,
55,1.8331121833534378,,
56,1.8664414957780457,1679.0,911.0
57,1.8997708082026536,1670.0,814.0
58,1.9331001206272618,,
59,1.9664294330518697,1687.0,668.0
60,1.9997587454764776,1701.0,629.0
61,2.0330880579010855,,
62,2.0664173703256936,1733.0,638.0
63,2.0997466827503013,,
64,2.1330759951749094,,
65,2.1664053075995175,1825.0,874.0
66,2.1997346200241252,1870.0,1047.0
67,2.2330639324487334,1871.0,1314.0
68,2.2663932448733415,,
69,2.299722557297949,1287.0,1783.0
70,2.3330518697225573,947.0,1578.0
71,2.366381182147165,803.0,1302.0
72,2.399710494571773,,
73,2.4330398069963812,,
74,2.466369119420989,662.0,839.0
75,2.499698431845597,610.0,771.0
76,2.533027744270205,,
77,2.566357056694813,512.0,761.0
78,2.599686369119421,484.0,807.0
79,2.6330156815440287,467.0,886.0
80,2.666344993968637,467.0,988.0
81,2.699674306393245,,
82,2.7330036188178526,553.0,1294.0
83,2.7663329312424607,676.0,1484.0
84,2.799662243667069,883.0,1666.0
85,2.8329915560916765,1159.0,1778.0
86,2.8663208685162846,,
87,2.8996501809408928,1752.0,1670.0
88,2.9329794933655005,1941.0,1509.0
89,2.9663088057901086,,
90,2.9996381182147163,,
91,3.0329674306393244,2160.0,1052.0
92,3.0662967430639325,2166.0,951.0
93,3.09962605548854,,
94,3.1329553679131483,2127.0,826.0
95,3.1662846803377565,2094.0,812.0
96,3.199613992762364,,
97,3.2329433051869723,,
98,3.26627261761158,1954.0,1007.0
99,3.299601930036188,,
100,3.332931242460796,1836.0,1388.0
101,3.366260554885404,,
102,3.399589867310012,1261.0,1792.0
103,3.43291917973462,911.0,1616.0
104,3.466248492159228,757.0,1336.0
105,3.499577804583836,,
106,3.5329071170084436,711.0,940.0
107,3.5662364294330517,706.0,830.0
108,3.59956574185766,693.0,753.0
109,3.6328950542822676,,
110,3.6662243667068757,661.0,700.0
111,3.699553679131484,647.0,720.0
112,3.7328829915560915,632.0,777.0
113,3.7662123039806996,623.0,871.0
114,3.7995416164053073,616.0,1014.0
115,3.8328709288299154,632.0,1214.0
116,3.8662002412545236,728.0,1475.0
117,3.8995295536791312,979.0,1718.0
118,3.9328588661037394,1336.0,1779.0
119,3.9661881785283475,,
120,3.999517490952955,1840.0,1506.0
121,4.032846803377563,1975.0,1371.0
122,4.066176115802171,2067.0,1276.0
123,4.099505428226779,,
124,4.132834740651387,2148.0,1172.0
125,4.166164053075995,2150.0,1148.0
126,4.199493365500603,,
127,4.232822677925211,2144.0,1158.0
128,4.266151990349819,2133.0,1199.0
129,4.299481302774427,,
130,4.332810615199035,2077.0,1339.0
131,4.366139927623643,,
132,4.3994692400482505,1878.0,1540.0
133,4.432798552472859,1690.0,1665.0
134,4.466127864897467,,
135,4.499457177322075,1112.0,1768.0
136,4.532786489746683,830.0,1628.0
137,4.56611580217129,655.0,1415.0
138,4.599445114595898,579.0,1210.0
139,4.6327744270205065,550.0,1043.0
140,4.666103739445115,552.0,924.0
141,4.699433051869723,,
142,4.73276236429433,581.0,805.0
143,4.766091676718938,602.0,798.0
144,4.799420989143546,,
145,4.832750301568154,644.0,890.0
146,4.8660796139927625,662.0,998.0
147,4.899408926417371,,
148,4.932738238841978,742.0,1374.0
149,4.966067551266586,911.0,1634.0
150,4.999396863691194,1243.0,1791.0
151,5.032726176115802,1590.0,1704.0
152,5.06605548854041,,
153,5.099384800965018,,
154,5.132714113389626,1991.0,1168.0
155,5.166043425814234,2048.0,1070.0
156,5.199372738238842,,
157,5.23270205066345,,
158,5.266031363088057,2152.0,1016.0
159,5.299360675512665,,
160,5.332689987937274,2150.0,1126.0
161,5.366019300361882,2123.0,1214.0
162,5.39934861278649,,
163,5.432677925211098,1975.0,1466.0
164,5.466007237635705,,
165,5.499336550060313,1618.0,1734.0
166,5.532665862484921,1354.0,1792.0
167,5.5659951749095296,1079.0,1755.0
168,5.599324487334138,847.0,1645.0
169,5.632653799758745,679.0,1489.0
170,5.665983112183353,576.0,1335.0
171,5.699312424607961,519.0,1203.0
172,5.732641737032569,491.0,1093.0
173,5.765971049457177,485.0,1015.0
174,5.7993003618817855,,
