frame,time_s,x,y
0,0.0,652.0,1106.0
1,0.03333333333333333,652.0,1106.0
2,0.06666666666666667,652.0,1106.0
3,0.1,653.0,1106.0
4,0.13333333333333333,651.0,1106.0
5,0.16666666666666666,651.0,1107.0
6,0.2,652.0,1106.0
7,0.23333333333333334,651.0,1106.0
8,0.26666666666666666,652.0,1106.0
9,0.3,652.0,1105.0
10,0.3333333333333333,652.0,1106.0
11,0.36666666666666664,652.0,1106.0
12,0.4,652.0,1106.0
13,0.43333333333333335,652.0,1106.0
14,0.4666666666666667,645.0,528.0
15,0.5,653.0,1106.0
16,0.5333333333333333,652.0,1106.0
17,0.5666666666666667,651.0,1106.0
18,0.6,652.0,1106.0
19,0.6333333333333333,651.0,1106.0
20,0.6666666666666666,645.0,514.0
21,0.7,652.0,1105.0
22,0.7333333333333333,652.0,1107.0
23,0.7666666666666667,652.0,1106.0
24,0.8,650.0,1106.0
25,0.8333333333333334,651.0,1106.0
26,0.8666666666666667,651.0,1108.0
27,0.9,653.0,1106.0
28,0.9333333333333333,652.0,1106.0
29,0.9666666666666667,651.0,1105.0
30,1.0,653.0,1105.0
31,1.0333333333333334,652.0,1105.0
32,1.0666666666666667,652.0,1106.0
33,1.1,652.0,1105.0
34,1.1333333333333333,653.0,1106.0
35,1.1666666666666667,652.0,1106.0
36,1.2,652.0,1106.0
37,1.2333333333333334,651.0,1105.0
38,1.2666666666666666,652.0,1105.0
39,1.3,653.0,1105.0
40,1.3333333333333333,652.0,1105.0
41,1.3666666666666667,651.0,1106.0
42,1.4,653.0,1106.0
43,1.4333333333333333,652.0,1106.0
44,1.4666666666666666,652.0,1105.0
45,1.5,652.0,1105.0
46,1.5333333333333334,651.0,1106.0
47,1.5666666666666667,651.0,1106.0
48,1.6,652.0,1106.0
49,1.6333333333333333,652.0,1106.0
50,1.6666666666666667,27.0,487.0
51,1.7,50.0,536.0
52,1.7333333333333334,81.0,551.0
53,1.7666666666666666,115.0,556.0
54,1.8,164.0,586.0
55,1.8333333333333333,246.0,653.0
56,1.8666666666666667,190.0,544.0
57,1.9,344.0,713.0
58,1.9333333333333333,395.0,742.0
59,1.9666666666666666,225.0,491.0
60,2.0,67.0,233.0
61,2.033333333333333,488.0,805.0
62,2.066666666666667,317.0,557.0
63,2.1,139.0,279.0
64,2.1333333333333333,556.0,845.0
65,2.1666666666666665,368.0,573.0
66,2.2,174.0,295.0
67,2.2333333333333334,586.0,860.0
68,2.2666666666666666,402.0,606.0
69,2.3,214.0,354.0
70,2.3333333333333335,592.0,861.0
71,2.3666666666666667,396.0,599.0
72,2.4,585.0,866.0
73,2.433333333333333,562.0,854.0
74,2.466666666666667,356.0,583.0
75,2.5,166.0,313.0
76,2.533333333333333,482.0,826.0
77,2.566666666666667,293.0,558.0
78,2.6,119.0,259.0
79,2.6333333333333333,396.0,778.0
80,2.6666666666666665,221.0,500.0
81,2.7,69.0,233.0
82,2.7333333333333334,328.0,726.0
83,2.7666666666666666,176.0,464.0
84,2.8,47.0,208.0
85,2.8333333333333335,272.0,658.0
86,2.8666666666666667,160.0,464.0
87,2.9,241.0,608.0
88,2.933333333333333,240.0,604.0
89,2.966666666666667,167.0,484.0
90,3.0,164.0,478.0
91,3.033333333333333,214.0,539.0
92,3.066666666666667,161.0,452.0
93,3.1,152.0,428.0
94,3.1333333333333333,188.0,472.0
95,3.1666666666666665,154.0,408.0
96,3.2,146.0,383.0
97,3.2333333333333334,177.0,406.0
98,3.2666666666666666,151.0,357.0
99,3.3,145.0,330.0
100,3.3333333333333335,181.0,351.0
101,3.3666666666666667,162.0,313.0
102,3.4,149.0,279.0
103,3.433333333333333,186.0,303.0
104,3.466666666666667,194.0,297.0
105,3.5,155.0,241.0
106,3.533333333333333,197.0,278.0
107,3.566666666666667,169.0,244.0
108,3.6,155.0,220.0
109,3.6333333333333333,202.0,270.0
110,3.6666666666666665,202.0,271.0
111,3.7,156.0,218.0
112,3.7333333333333334,201.0,276.0
113,3.7666666666666666,176.0,249.0
114,3.8,154.0,220.0
115,3.8333333333333335,198.0,275.0
116,3.8666666666666667,175.0,252.0
117,3.9,153.0,222.0
118,3.933333333333333,200.0,279.0
119,3.966666666666667,191.0,266.0
120,4.0,154.0,226.0
121,4.033333333333333,204.0,287.0
122,4.066666666666666,205.0,287.0
123,4.1,155.0,229.0
124,4.133333333333334,204.0,295.0
125,4.166666666666667,175.0,265.0
126,4.2,151.0,232.0
127,4.233333333333333,204.0,303.0
128,4.266666666666667,171.0,265.0
129,4.3,152.0,236.0
130,4.333333333333333,203.0,307.0
131,4.366666666666666,205.0,307.0
132,4.4,149.0,239.0
133,4.433333333333334,203.0,309.0
134,4.466666666666667,202.0,309.0
135,4.5,147.0,238.0
136,4.533333333333333,201.0,313.0
137,4.566666666666666,173.0,279.0
138,4.6,145.0,237.0
139,4.633333333333334,200.0,313.0
140,4.666666666666667,202.0,313.0
141,4.7,154.0,253.0
142,4.733333333333333,200.0,314.0
143,4.766666666666667,173.0,279.0
144,4.8,144.0,234.0
145,4.833333333333333,202.0,310.0
146,4.866666666666666,170.0,274.0
147,4.9,145.0,234.0
148,4.933333333333334,201.0,306.0
149,4.966666666666667,202.0,305.0
150,5.0,149.0,237.0
151,5.033333333333333,200.0,304.0
152,5.066666666666666,175.0,272.0
153,5.1,147.0,231.0
154,5.133333333333334,200.0,303.0
155,5.166666666666667,202.0,301.0
156,5.2,149.0,233.0
157,5.233333333333333,203.0,302.0
158,5.266666666666667,167.0,262.0
159,5.3,147.0,230.0
160,5.333333333333333,200.0,301.0
161,5.366666666666666,173.0,268.0
162,5.4,146.0,229.0
163,5.433333333333334,202.0,301.0
164,5.466666666666667,201.0,297.0
165,5.5,147.0,229.0
166,5.533333333333333,202.0,299.0
167,5.566666666666666,202.0,297.0
168,5.6,145.0,224.0
169,5.633333333333334,201.0,297.0
170,5.666666666666667,179.0,271.0
171,5.7,147.0,227.0
172,5.733333333333333,203.0,297.0
173,5.766666666666667,202.0,293.0
174,5.8,146.0,226.0
175,5.833333333333333,204.0,297.0
176,5.866666666666666,202.0,294.0
177,5.9,147.0,227.0
178,5.933333333333334,195.0,305.0
